Age,BusinessTravel,department,DistanceFromHome,Education,EducationField,Gender,job_role,JobSatisfaction,MaritalStatus,monthly_income,NumCompaniesWorked,overtime,PercentSalaryHike,PerformanceRating,YearsInCurrentRole,YearsSinceLastPromotion,industry_proxy,layoff_target
29,Travel_Rarely,Sales,27,3,Marketing,Female,Sales Executive,4,Married,7639,1,No,22,4,4,1,Retail and Consumer,1
22,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,Research Scientist,2,Divorced,2328,1,Yes,16,3,2,2,Technology and Services,0
36,Travel_Frequently,Research & Development,18,1,Medical,Female,Laboratory Technician,4,Single,2153,1,No,13,3,1,1,Technology and Services,0
40,Non-Travel,Research & Development,9,5,Life Sciences,Male,Healthcare Representative,4,Married,4876,9,No,14,3,2,0,Technology and Services,0
46,Travel_Rarely,Research & Development,1,4,Medical,Male,Healthcare Representative,1,Divorced,9396,7,No,16,3,2,0,Technology and Services,0
32,Travel_Rarely,Sales,4,4,Medical,Male,Sales Executive,4,Married,10400,1,No,11,3,8,9,Retail and Consumer,1
30,Non-Travel,Research & Development,1,1,Life Sciences,Male,Manufacturing Director,3,Single,8474,1,No,22,4,8,5,Technology and Services,0
27,Travel_Frequently,Sales,20,3,Life Sciences,Female,Sales Executive,3,Single,9981,1,No,14,3,7,0,Retail and Consumer,0
51,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,Research Director,2,Married,12490,5,No,16,3,9,4,Technology and Services,0
30,Travel_Rarely,Research & Development,3,3,Technical Degree,Female,Research Scientist,1,Single,2657,5,Yes,11,3,2,0,Technology and Services,0
41,Travel_Rarely,Sales,6,3,Life Sciences,Female,Manager,4,Single,13591,3,Yes,18,3,0,0,Retail and Consumer,0
30,Travel_Frequently,Sales,26,4,Marketing,Female,Sales Executive,1,Single,6696,5,No,15,3,3,0,Retail and Consumer,1
29,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,Research Scientist,3,Single,2058,0,No,14,3,2,1,Technology and Services,0
45,Non-Travel,Sales,6,3,Medical,Female,Sales Executive,4,Single,8865,6,No,12,3,7,12,Retail and Consumer,0
54,Travel_Rarely,Sales,3,3,Marketing,Female,Sales Executive,1,Married,5940,2,No,14,3,2,0,Retail and Consumer,0
36,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,Laboratory Technician,2,Single,5914,8,No,16,3,11,3,Technology and Services,0
33,Travel_Rarely,Research & Development,4,4,Medical,Female,Research Scientist,2,Married,2622,6,No,21,4,2,1,Technology and Services,0
37,Travel_Frequently,Research & Development,11,3,Other,Male,Research Director,4,Divorced,12185,1,Yes,14,3,8,0,Technology and Services,0
38,Travel_Rarely,Sales,3,3,Life Sciences,Male,Sales Executive,3,Divorced,10609,0,No,12,3,10,5,Retail and Consumer,0
31,Non-Travel,Research & Development,1,4,Medical,Male,Manufacturing Director,3,Married,4345,0,No,12,3,4,1,Technology and Services,0
59,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,Research Scientist,4,Married,2177,3,No,17,3,0,0,Technology and Services,0
37,Travel_Frequently,Sales,4,4,Marketing,Male,Sales Representative,4,Divorced,2793,4,No,17,3,8,5,Retail and Consumer,0
29,Travel_Frequently,Sales,1,1,Medical,Female,Sales Executive,4,Married,7918,1,No,14,3,10,4,Retail and Consumer,0
35,Travel_Frequently,Sales,1,3,Marketing,Female,Sales Executive,3,Single,8789,1,No,14,3,7,0,Retail and Consumer,0
29,Travel_Rarely,Research & Development,18,1,Medical,Male,Research Scientist,4,Single,2389,1,Yes,13,3,3,0,Technology and Services,0
52,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Laboratory Technician,4,Single,3212,7,No,15,3,2,2,Technology and Services,0
42,Travel_Rarely,Research & Development,4,2,Technical Degree,Male,Manager,4,Married,19232,1,No,11,3,17,11,Technology and Services,0
59,Travel_Rarely,Human Resources,6,2,Medical,Male,Human Resources,3,Married,2267,8,No,17,3,2,2,Professional Services,0
50,Travel_Rarely,Sales,1,4,Medical,Female,Manager,4,Divorced,19517,3,No,11,3,0,0,Retail and Consumer,0
33,Travel_Rarely,Research & Development,14,3,Medical,Male,Laboratory Technician,4,Married,2436,5,Yes,13,3,4,0,Technology and Services,0
43,Travel_Rarely,Sales,16,3,Marketing,Female,Manager,4,Married,16064,5,Yes,22,4,13,1,Retail and Consumer,0
33,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,Laboratory Technician,1,Married,2707,7,No,20,4,7,1,Technology and Services,0
52,Non-Travel,Sales,2,4,Life Sciences,Male,Manager,3,Single,19068,1,Yes,18,3,7,15,Retail and Consumer,0
32,Travel_Rarely,Sales,4,2,Life Sciences,Female,Sales Representative,2,Married,3931,2,No,11,3,3,1,Retail and Consumer,0
32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,Laboratory Technician,3,Single,3730,0,Yes,14,3,2,1,Technology and Services,0
39,Travel_Rarely,Research & Development,1,4,Medical,Female,Laboratory Technician,3,Divorced,2232,7,No,14,3,2,1,Technology and Services,0
32,Non-Travel,Sales,26,4,Marketing,Male,Sales Executive,4,Married,4465,0,No,18,3,2,2,Retail and Consumer,0
41,Travel_Rarely,Research & Development,19,2,Life Sciences,Male,Research Scientist,1,Divorced,3072,2,No,16,3,0,0,Technology and Services,0
40,Travel_Rarely,Research & Development,24,2,Technical Degree,Male,Research Scientist,4,Divorced,3319,1,No,17,3,8,4,Technology and Services,0
45,Travel_Rarely,Research & Development,1,3,Other,Male,Manager,4,Married,19202,0,No,11,3,0,1,Technology and Services,0
31,Travel_Frequently,Research & Development,3,4,Medical,Male,Research Director,3,Divorced,13675,9,No,12,3,2,2,Technology and Services,0
33,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,Research Scientist,4,Married,2911,1,No,13,3,2,0,Technology and Services,0
34,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,1,Married,5957,6,No,13,3,9,5,Technology and Services,0
37,Travel_Rarely,Research & Development,1,2,Medical,Female,Research Scientist,1,Married,3920,2,No,14,3,1,0,Technology and Services,0
45,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,Manufacturing Director,3,Married,6434,4,No,17,3,2,0,Technology and Services,0
37,Travel_Frequently,Research & Development,10,3,Medical,Male,Manufacturing Director,3,Divorced,10048,6,No,11,3,0,0,Technology and Services,0
39,Travel_Frequently,Research & Development,2,4,Technical Degree,Female,Healthcare Representative,3,Single,10938,0,No,25,4,6,11,Technology and Services,0
29,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,Research Scientist,4,Single,2340,1,No,19,3,5,1,Technology and Services,0
42,Travel_Rarely,Research & Development,17,2,Life Sciences,Female,Research Scientist,1,Single,6545,3,Yes,13,3,2,0,Technology and Services,0
29,Travel_Rarely,Sales,20,2,Marketing,Male,Sales Executive,4,Divorced,6931,2,No,14,3,2,0,Retail and Consumer,0
25,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,Manufacturing Director,3,Married,4898,0,No,12,3,2,1,Technology and Services,0
42,Travel_Rarely,Research & Development,2,3,Medical,Female,Laboratory Technician,1,Divorced,2593,0,Yes,11,3,6,7,Technology and Services,0
40,Travel_Rarely,Research & Development,2,2,Medical,Male,Research Director,3,Divorced,19436,0,No,19,3,7,3,Technology and Services,0
51,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,Research Scientist,4,Married,2723,1,No,11,3,0,0,Technology and Services,0
31,Travel_Frequently,Research & Development,29,2,Medical,Male,Laboratory Technician,2,Single,3479,0,No,11,3,4,1,Technology and Services,0
32,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,2,Married,2794,1,No,20,4,1,0,Technology and Services,0
38,Non-Travel,Sales,2,2,Life Sciences,Male,Sales Executive,4,Married,5249,3,No,18,3,7,7,Retail and Consumer,0
32,Travel_Rarely,Research & Development,2,1,Technical Degree,Male,Laboratory Technician,1,Single,2176,4,No,13,3,2,0,Technology and Services,0
46,Travel_Rarely,Sales,2,3,Technical Degree,Female,Manager,2,Married,16872,3,Yes,12,3,7,7,Retail and Consumer,0
28,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Laboratory Technician,3,Single,3485,2,No,11,3,0,0,Technology and Services,0
29,Travel_Rarely,Sales,2,3,Medical,Male,Sales Executive,2,Married,6644,2,No,19,3,0,0,Retail and Consumer,0
31,Travel_Rarely,Research & Development,23,3,Medical,Male,Healthcare Representative,4,Married,5582,0,No,21,4,0,7,Technology and Services,0
25,Non-Travel,Research & Development,5,2,Life Sciences,Male,Healthcare Representative,1,Divorced,4000,1,No,12,3,3,1,Technology and Services,0
45,Travel_Rarely,Research & Development,20,2,Medical,Male,Healthcare Representative,4,Married,13496,0,Yes,14,3,7,4,Technology and Services,0
36,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,Laboratory Technician,4,Married,3210,0,No,11,3,13,10,Technology and Services,0
55,Travel_Rarely,Research & Development,1,3,Medical,Male,Manager,1,Single,19045,0,Yes,14,3,10,4,Technology and Services,0
47,Non-Travel,Research & Development,29,4,Life Sciences,Male,Manager,2,Married,11849,1,Yes,12,3,7,9,Technology and Services,0
28,Travel_Rarely,Research & Development,9,3,Medical,Male,Research Scientist,4,Married,2070,1,No,23,4,2,0,Technology and Services,0
37,Travel_Rarely,Sales,6,4,Medical,Male,Sales Executive,4,Married,6502,4,No,14,3,4,0,Retail and Consumer,0
21,Travel_Rarely,Research & Development,3,2,Medical,Male,Research Scientist,3,Single,3230,1,No,17,3,2,1,Technology and Services,0
37,Non-Travel,Research & Development,1,4,Medical,Female,Research Director,4,Divorced,13603,2,Yes,18,3,2,0,Technology and Services,0
35,Travel_Rarely,Research & Development,22,3,Life Sciences,Female,Manager,2,Divorced,11996,7,No,18,3,7,6,Technology and Services,0
38,Travel_Rarely,Sales,7,2,Medical,Female,Sales Executive,1,Divorced,5605,1,Yes,24,4,0,7,Retail and Consumer,0
26,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,Manufacturing Director,2,Divorced,6397,1,No,20,4,5,1,Technology and Services,0
50,Travel_Rarely,Research & Development,4,1,Life Sciences,Male,Research Director,2,Divorced,19144,3,No,14,3,4,1,Technology and Services,0
53,Travel_Rarely,Research & Development,3,4,Medical,Male,Research Director,3,Married,17584,3,Yes,16,3,3,1,Technology and Services,0
42,Travel_Rarely,Sales,1,1,Life Sciences,Male,Sales Executive,3,Married,4907,1,No,25,4,16,11,Retail and Consumer,0
29,Travel_Frequently,Sales,2,2,Life Sciences,Male,Sales Executive,4,Single,4554,1,No,18,3,7,0,Retail and Consumer,0
55,Travel_Rarely,Research & Development,20,2,Technical Degree,Male,Laboratory Technician,4,Married,5415,3,Yes,19,3,7,0,Technology and Services,0
26,Travel_Frequently,Research & Development,11,2,Medical,Male,Healthcare Representative,1,Married,4741,1,Yes,13,3,3,3,Technology and Services,0
37,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,Research Scientist,4,Single,2115,1,No,12,3,12,5,Technology and Services,0
44,Travel_Frequently,Research & Development,24,3,Life Sciences,Male,Laboratory Technician,3,Divorced,3161,3,Yes,22,4,0,0,Technology and Services,0
38,Travel_Rarely,Research & Development,23,4,Life Sciences,Male,Healthcare Representative,4,Divorced,5745,9,No,14,3,2,1,Technology and Services,0
26,Travel_Rarely,Research & Development,16,4,Medical,Male,Laboratory Technician,2,Divorced,2373,2,Yes,13,3,2,0,Technology and Services,0
28,Travel_Rarely,Research & Development,8,2,Life Sciences,Female,Research Scientist,4,Single,3310,1,No,21,4,3,0,Technology and Services,0
49,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,Research Director,1,Single,18665,9,Yes,11,3,2,1,Technology and Services,0
36,Travel_Rarely,Research & Development,3,3,Technical Degree,Male,Research Scientist,2,Single,4485,4,No,12,3,0,7,Technology and Services,0
31,Travel_Frequently,Sales,5,3,Marketing,Female,Sales Representative,2,Divorced,2789,1,No,11,3,2,2,Retail and Consumer,0
26,Travel_Rarely,Sales,4,4,Marketing,Male,Sales Executive,4,Single,5828,1,Yes,12,3,7,7,Retail and Consumer,1
37,Travel_Frequently,Research & Development,9,3,Medical,Male,Research Scientist,4,Married,2326,1,Yes,12,3,2,1,Technology and Services,0
42,Travel_Frequently,Sales,26,3,Marketing,Female,Sales Executive,2,Married,13525,5,No,14,3,4,4,Retail and Consumer,0
18,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,Laboratory Technician,3,Single,1420,1,No,13,3,0,0,Technology and Services,0
35,Travel_Rarely,Sales,16,3,Marketing,Male,Sales Executive,2,Married,8020,0,No,15,3,9,6,Retail and Consumer,0
36,Travel_Frequently,Research & Development,18,4,Life Sciences,Male,Laboratory Technician,4,Married,3688,4,No,18,3,0,0,Technology and Services,0
51,Travel_Rarely,Research & Development,2,3,Medical,Male,Manufacturing Director,2,Divorced,5482,5,No,18,3,1,1,Technology and Services,0
41,Travel_Rarely,Sales,2,4,Life Sciences,Male,Manager,2,Single,16015,1,No,19,3,10,0,Retail and Consumer,0
18,Travel_Rarely,Sales,10,3,Medical,Female,Sales Representative,3,Single,1359,1,No,12,3,0,0,Retail and Consumer,0
28,Travel_Rarely,Research & Development,16,2,Medical,Male,Healthcare Representative,1,Single,5661,0,No,19,3,3,0,Technology and Services,0
31,Travel_Rarely,Sales,7,3,Technical Degree,Male,Sales Executive,4,Married,6929,4,No,11,3,7,7,Retail and Consumer,0
39,Travel_Rarely,Research & Development,1,3,Medical,Male,Healthcare Representative,4,Divorced,9613,0,No,17,3,10,3,Technology and Services,0
36,Non-Travel,Research & Development,24,4,Life Sciences,Female,Laboratory Technician,2,Married,5674,7,No,15,3,8,0,Technology and Services,0
32,Travel_Rarely,Sales,7,3,Life Sciences,Male,Sales Executive,3,Married,5484,1,No,14,3,8,4,Retail and Consumer,0
38,Travel_Rarely,Research & Development,25,2,Life Sciences,Female,Research Director,2,Married,12061,3,No,17,3,8,0,Technology and Services,0
58,Non-Travel,Research & Development,1,4,Life Sciences,Male,Healthcare Representative,3,Divorced,5660,2,Yes,13,3,3,1,Technology and Services,0
31,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,Research Scientist,4,Married,4821,0,Yes,12,3,2,0,Technology and Services,0
31,Travel_Rarely,Human Resources,2,3,Human Resources,Male,Human Resources,1,Married,6410,3,No,12,3,2,1,Professional Services,0
45,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,1,Divorced,5210,1,No,18,3,9,9,Technology and Services,0
31,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Research Scientist,4,Divorced,2695,0,Yes,18,3,2,2,Technology and Services,0
33,Travel_Frequently,Research & Development,5,4,Life Sciences,Female,Manager,2,Married,11878,6,No,11,3,6,8,Technology and Services,0
39,Travel_Rarely,Research & Development,10,1,Medical,Male,Manager,1,Married,17068,1,Yes,14,3,9,11,Technology and Services,0
43,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,4,Single,2455,0,No,19,3,7,1,Technology and Services,0
49,Travel_Rarely,Research & Development,1,2,Technical Degree,Female,Healthcare Representative,3,Single,13964,7,Yes,12,3,1,0,Technology and Services,0
52,Travel_Rarely,Research & Development,8,4,Medical,Male,Research Scientist,2,Married,4941,2,No,15,3,2,7,Technology and Services,0
27,Travel_Rarely,Research & Development,5,3,Life Sciences,Female,Research Scientist,2,Single,2478,1,Yes,12,3,3,1,Technology and Services,0
32,Travel_Rarely,Sales,8,2,Technical Degree,Female,Sales Executive,2,Married,5228,1,Yes,11,3,12,11,Retail and Consumer,0
27,Travel_Rarely,Sales,2,3,Life Sciences,Male,Sales Executive,3,Single,4478,1,Yes,11,3,4,0,Retail and Consumer,0
31,Travel_Rarely,Sales,7,3,Marketing,Male,Sales Executive,4,Divorced,7547,4,No,12,3,7,1,Retail and Consumer,0
32,Travel_Rarely,Research & Development,2,4,Medical,Female,Research Scientist,4,Single,5055,7,No,16,3,7,0,Technology and Services,0
28,Travel_Rarely,Research & Development,2,4,Medical,Male,Research Scientist,4,Married,3464,5,Yes,13,3,2,2,Technology and Services,0
30,Travel_Rarely,Research & Development,28,2,Medical,Female,Research Scientist,4,Married,5775,1,No,13,3,8,1,Technology and Services,0
31,Travel_Frequently,Research & Development,7,2,Life Sciences,Female,Manufacturing Director,3,Married,8943,1,No,24,4,9,8,Technology and Services,0
39,Travel_Frequently,Research & Development,7,2,Medical,Male,Manager,4,Married,19272,1,No,15,3,9,13,Technology and Services,0
39,Travel_Rarely,Sales,3,2,Medical,Female,Sales Executive,3,Married,5238,4,Yes,18,3,0,0,Retail and Consumer,1
33,Travel_Frequently,Sales,10,3,Marketing,Male,Sales Executive,4,Single,4682,3,No,14,3,7,0,Retail and Consumer,0
47,Travel_Rarely,Research & Development,5,5,Life Sciences,Male,Research Director,3,Married,18300,4,No,11,3,2,1,Technology and Services,0
43,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,3,Divorced,5257,1,No,11,3,7,0,Technology and Services,0
27,Non-Travel,Sales,1,1,Marketing,Male,Sales Executive,2,Married,6349,0,Yes,13,3,4,1,Retail and Consumer,0
54,Travel_Frequently,Research & Development,20,4,Life Sciences,Female,Research Scientist,3,Single,4869,3,No,12,3,3,0,Technology and Services,0
43,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,Healthcare Representative,1,Married,9985,8,No,16,3,0,0,Technology and Services,0
45,Travel_Rarely,Research & Development,8,4,Other,Male,Research Scientist,4,Married,3697,9,No,14,3,9,9,Technology and Services,0
40,Travel_Rarely,Sales,1,2,Medical,Male,Sales Executive,4,Married,7457,2,Yes,22,4,3,0,Retail and Consumer,0
29,Travel_Rarely,Research & Development,8,4,Other,Male,Laboratory Technician,1,Married,2119,1,Yes,11,3,7,0,Technology and Services,0
29,Travel_Rarely,Research & Development,9,5,Other,Male,Laboratory Technician,4,Single,3983,0,No,17,3,2,2,Technology and Services,0
30,Travel_Rarely,Sales,5,3,Marketing,Female,Sales Executive,3,Divorced,6118,1,No,13,3,9,1,Retail and Consumer,0
27,Travel_Rarely,Sales,8,4,Marketing,Female,Sales Executive,2,Married,6214,1,No,18,3,7,0,Retail and Consumer,0
37,Travel_Rarely,Research & Development,5,2,Medical,Male,Manufacturing Director,4,Divorced,6347,7,No,16,3,2,0,Technology and Services,0
38,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,Research Director,4,Divorced,11510,0,Yes,14,3,10,2,Technology and Services,0
31,Travel_Rarely,Research & Development,7,4,Medical,Female,Manufacturing Director,4,Single,7143,1,Yes,14,3,9,4,Technology and Services,0
29,Travel_Rarely,Sales,10,1,Marketing,Female,Sales Executive,2,Divorced,8268,1,Yes,14,3,7,1,Retail and Consumer,0
35,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,Manufacturing Director,2,Single,8095,0,No,13,3,6,0,Technology and Services,0
23,Travel_Rarely,Research & Development,26,1,Life Sciences,Male,Research Scientist,4,Divorced,2904,1,No,12,3,2,0,Technology and Services,0
41,Travel_Rarely,Research & Development,6,3,Medical,Male,Manufacturing Director,2,Single,6032,6,Yes,15,3,4,1,Technology and Services,0
47,Travel_Frequently,Sales,4,1,Medical,Male,Sales Representative,3,Single,2976,3,No,19,3,0,0,Retail and Consumer,0
42,Travel_Rarely,Research & Development,23,5,Life Sciences,Female,Research Director,4,Single,15992,2,No,14,3,0,0,Technology and Services,0
29,Non-Travel,Sales,2,3,Life Sciences,Male,Sales Executive,3,Married,4649,1,No,14,3,3,0,Retail and Consumer,0
42,Travel_Rarely,Human Resources,2,1,Technical Degree,Male,Human Resources,3,Divorced,2696,0,Yes,11,3,2,1,Professional Services,0
32,Travel_Rarely,Research & Development,2,3,Medical,Female,Laboratory Technician,2,Married,2370,1,No,13,3,0,0,Technology and Services,0
48,Travel_Rarely,Sales,29,1,Medical,Female,Manager,3,Married,12504,3,No,21,4,0,0,Retail and Consumer,0
37,Travel_Rarely,Research & Development,6,3,Medical,Male,Research Scientist,1,Divorced,5974,4,Yes,13,3,7,6,Technology and Services,0
30,Non-Travel,Sales,25,2,Technical Degree,Female,Sales Executive,3,Married,4736,7,Yes,12,3,2,2,Retail and Consumer,0
26,Travel_Rarely,Sales,1,3,Life Sciences,Male,Sales Executive,3,Married,5296,1,No,17,3,7,7,Retail and Consumer,0
42,Travel_Rarely,Research & Development,2,4,Other,Male,Healthcare Representative,4,Single,6781,3,No,23,4,0,0,Technology and Services,0
21,Travel_Frequently,Sales,1,1,Technical Degree,Female,Sales Representative,2,Single,2174,1,Yes,11,3,2,1,Retail and Consumer,1
36,Non-Travel,Sales,1,5,Medical,Female,Sales Executive,4,Single,6653,4,No,15,3,0,0,Retail and Consumer,0
36,Travel_Frequently,Sales,3,4,Medical,Male,Sales Executive,4,Married,9699,4,No,11,3,9,1,Retail and Consumer,0
57,Travel_Rarely,Research & Development,1,4,Medical,Male,Healthcare Representative,3,Married,6755,2,No,11,3,2,1,Technology and Services,0
40,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,3,Married,2213,3,Yes,13,3,7,1,Technology and Services,0
21,Non-Travel,Sales,9,2,Medical,Male,Sales Representative,4,Single,2610,1,No,24,4,2,2,Retail and Consumer,0
33,Travel_Rarely,Sales,5,3,Marketing,Female,Sales Representative,3,Single,2851,1,Yes,13,3,0,0,Retail and Consumer,1
37,Travel_Rarely,Research & Development,10,3,Medical,Female,Laboratory Technician,1,Married,3452,6,No,20,4,4,0,Technology and Services,0
46,Non-Travel,Research & Development,7,4,Medical,Female,Manufacturing Director,3,Married,5258,2,No,14,3,0,0,Technology and Services,0
41,Travel_Frequently,Sales,4,3,Marketing,Male,Sales Executive,2,Single,9355,1,No,18,3,7,7,Retail and Consumer,1
50,Travel_Rarely,Research & Development,10,3,Technical Degree,Male,Healthcare Representative,4,Single,10496,6,No,15,3,3,1,Technology and Services,0
40,Travel_Rarely,Sales,22,2,Marketing,Male,Sales Executive,3,Married,6380,2,Yes,12,3,4,1,Retail and Consumer,1
31,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Research Scientist,2,Single,2657,0,Yes,16,3,2,2,Technology and Services,0
21,Travel_Rarely,Sales,12,3,Life Sciences,Female,Sales Representative,2,Single,2716,1,No,15,3,0,0,Retail and Consumer,1
29,Travel_Rarely,Research & Development,23,3,Life Sciences,Male,Research Scientist,4,Single,2201,9,No,16,3,2,1,Technology and Services,0
35,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Healthcare Representative,2,Single,6540,9,No,19,3,1,0,Technology and Services,0
27,Travel_Rarely,Research & Development,1,2,Medical,Male,Laboratory Technician,2,Divorced,3816,1,No,11,3,2,0,Technology and Services,0
28,Travel_Rarely,Sales,9,4,Life Sciences,Male,Sales Executive,4,Single,5253,1,No,16,3,5,0,Retail and Consumer,0
49,Travel_Rarely,Research & Development,7,3,Other,Male,Healthcare Representative,3,Single,10965,8,No,24,4,2,0,Technology and Services,0
51,Travel_Rarely,Sales,14,2,Life Sciences,Female,Sales Executive,4,Married,4936,4,No,11,3,7,0,Retail and Consumer,0
36,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Research Scientist,3,Married,2543,4,No,13,3,2,2,Technology and Services,0
34,Non-Travel,Sales,19,3,Marketing,Male,Sales Executive,4,Single,5304,8,Yes,13,3,2,0,Retail and Consumer,1
55,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Manager,4,Single,16659,2,Yes,13,3,4,1,Technology and Services,0
24,Travel_Rarely,Sales,10,4,Marketing,Female,Sales Executive,3,Divorced,4260,1,Yes,12,3,2,0,Retail and Consumer,0
30,Travel_Rarely,Sales,2,1,Technical Degree,Male,Sales Representative,2,Married,2476,1,No,18,3,0,0,Retail and Consumer,0
26,Travel_Frequently,Research & Development,3,1,Technical Degree,Male,Research Scientist,1,Single,3102,0,No,22,4,4,0,Technology and Services,0
22,Travel_Rarely,Research & Development,11,3,Medical,Female,Research Scientist,2,Married,2244,1,No,13,3,1,1,Technology and Services,0
36,Travel_Rarely,Sales,2,2,Medical,Male,Sales Executive,3,Married,7596,1,No,13,3,9,9,Retail and Consumer,0
30,Travel_Frequently,Research & Development,4,3,Technical Degree,Male,Research Scientist,4,Single,2285,9,Yes,23,4,0,0,Technology and Services,0
37,Travel_Rarely,Research & Development,14,3,Life Sciences,Female,Laboratory Technician,1,Divorced,3034,1,No,12,3,7,12,Technology and Services,0
40,Travel_Rarely,Sales,2,2,Marketing,Female,Sales Executive,2,Divorced,5715,7,No,12,3,4,1,Retail and Consumer,0
42,Travel_Rarely,Research & Development,1,4,Life Sciences,Female,Laboratory Technician,1,Divorced,2576,3,No,16,3,2,1,Technology and Services,0
37,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,Manufacturing Director,2,Single,4197,2,Yes,12,3,0,0,Technology and Services,0
43,Travel_Rarely,Research & Development,12,3,Life Sciences,Male,Research Director,2,Divorced,14336,1,No,11,3,10,3,Technology and Services,0
40,Travel_Rarely,Research & Development,2,3,Medical,Female,Laboratory Technician,3,Married,3448,6,No,22,4,0,0,Technology and Services,0
54,Travel_Rarely,Research & Development,5,2,Medical,Male,Research Director,1,Married,19406,4,No,11,3,2,1,Technology and Services,0
34,Non-Travel,Sales,4,4,Marketing,Female,Sales Executive,3,Married,6538,9,No,15,3,2,1,Retail and Consumer,0
31,Travel_Rarely,Research & Development,7,2,Medical,Female,Manufacturing Director,1,Married,4306,1,No,12,3,10,3,Technology and Services,0
43,Travel_Frequently,Research & Development,21,3,Medical,Male,Laboratory Technician,4,Married,2258,7,No,20,4,2,1,Technology and Services,0
43,Travel_Rarely,Research & Development,8,4,Other,Female,Healthcare Representative,3,Divorced,4522,4,Yes,14,3,2,0,Technology and Services,0
25,Travel_Rarely,Sales,4,2,Life Sciences,Female,Sales Executive,4,Single,4487,1,Yes,11,3,4,1,Retail and Consumer,0
37,Non-Travel,Research & Development,25,5,Medical,Female,Research Scientist,3,Married,4449,3,Yes,15,3,11,10,Technology and Services,0
31,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,Laboratory Technician,1,Married,2218,1,No,12,3,2,3,Technology and Services,0
39,Travel_Frequently,Research & Development,1,1,Life Sciences,Male,Manager,3,Divorced,19197,1,Yes,14,3,8,1,Technology and Services,0
56,Travel_Frequently,Sales,6,3,Life Sciences,Female,Sales Executive,1,Married,13212,9,No,11,3,7,7,Retail and Consumer,0
30,Travel_Rarely,Sales,12,3,Technical Degree,Female,Sales Executive,3,Single,6577,0,No,11,3,4,4,Retail and Consumer,0
41,Travel_Rarely,Sales,1,3,Marketing,Male,Sales Executive,1,Married,8392,1,No,16,3,7,0,Retail and Consumer,0
28,Travel_Rarely,Research & Development,17,2,Medical,Male,Laboratory Technician,1,Divorced,4558,1,No,12,3,0,1,Technology and Services,0
25,Travel_Rarely,Research & Development,3,3,Medical,Male,Laboratory Technician,1,Married,4031,5,No,13,3,2,0,Technology and Services,0
52,Travel_Rarely,Research & Development,3,3,Medical,Male,Manufacturing Director,3,Married,7969,2,Yes,14,3,4,0,Technology and Services,0
45,Travel_Rarely,Research & Development,10,2,Life Sciences,Male,Research Scientist,4,Married,2654,3,No,21,4,2,0,Technology and Services,0
52,Travel_Rarely,Research & Development,4,2,Life Sciences,Female,Manager,4,Married,16555,2,No,13,3,2,1,Technology and Services,0
42,Travel_Frequently,Research & Development,29,2,Life Sciences,Female,Research Scientist,3,Divorced,4556,2,No,11,3,4,0,Technology and Services,0
30,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Manufacturing Director,4,Single,6091,2,No,20,4,4,0,Technology and Services,0
60,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,Manager,1,Married,19566,5,No,11,3,8,11,Technology and Services,0
